Species Name,year_first_described,first_paper
Glugea heraldi,1979,"Blasiola GC. Glugea heraldi n. sp. (Microsporida, Glugeidae) from the seahorse Hippocampus erectus Perry. J Fish Diseases. 1979;2:493–500."
Microsporidium aplysiae,1979,"Krauhs JM, Long JL, Baur PS. Spores of a New Microsporidan Species Parasitizing Molluscan Neurons. J Protozool. 1979;26:43–6."
Nosema ormieresi,1979,"Comps, Michel. “Mise en evidence d’une microsporidie parasite de Marteilia refringens agent de la maladie de la glande digestive de Ostreà edulis L.,” n.d., 4."
Nosema peridromae,1979,"Lipa, Jerzy J. “Nosema Peridromae Sp. n., a New Microsporidian Parasite of ,the Variegated Cutworm Peridroma Saucia (Hbn.) (Lepidoptera, Noctuidae).” Acta Protozoologica 18, no. 3 (1979): 461–464."
Pleistophora sp. 10,1979,"Kelly JF. Tissue specificities of Thelohania duorara, Agmasoma penaei, and Pleistophora sp., microsporidian parasites of pink shrimp, Penaeus duorarum. Journal of Invertebrate Pathology. 1979;33:331–9."
Auraspora canningae,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Encephalitozoon flavescens,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Glugea capverdensis,1980,"Lom, J., A.V. Gayevskaya, and I. Dykova. “Two Microsporidian Parasites Found in Marine Fishes in the Atlantic Ocean.” Folia Parasitologica 27 (1980): 197–202."
Nosema adjuncta,1980,"Hostounský, Zdeněk, and J. Weiser. “A Microsporidian Infection in Otiorrhynchus Equestris (Coleoptera, Curculionidae).” Acta Societatis Zoologicae Bohemicae (Věstník Československé Společnosti Zoologické) 44 (January 1, 1980): 160–165."
Nosema equestris,1980,"Hostounský, Zdeněk, and J. Weiser. “A Microsporidian Infection in Otiorrhynchus Equestris (Coleoptera, Curculionidae).” Acta Societatis Zoologicae Bohemicae (Věstník Československé Společnosti Zoologické) 44 (January 1, 1980): 160–165."
