,species,hosts_natural,hosts_experimental,infection_site,infection_site_formatted
491,Nucleophaga terricolae,Thecamoeba terricola,,,
492,Nucleospora cyclopteri (1),Cyclopterus lumpus,,Infected lymphocytes infiltrate haematopoietic tissues (kidney and spleen); heart; myocardium; gills; skin,Infected lymphocytes infiltrate haematopoietic tissues; kidney and spleen; heart; myocardium; gills; skin
493,Nucleospora cyclopteri (2),,,,
494,Nucleospora secunda,Nothobranchius rubripinnis,,intestinal epithelium,intestinal epithelium
495,Nucleospora sp.,Danio rerio,,coelom,coelom
496,Nudispora biformis,Coenagrion hastulaturn,,fat cells (disintegrated into a syncytium and hypoderm); adipose tissue,fat cells; disintegrated into a syncytium and hypoderm; adipose tissue
497,Octosporea collembolae,Onychiurus quadriocellatus,,,
498,Octosporea diaphanosomae,Diaphanosoma brachyurum,,Ovaries,Ovaries
499,Oligosporidium arahnicolum,Xysticus cambridgei,,oocytes; ovarian pedicular cells,oocytes; ovarian pedicular cells
500,Oligosporidium occidentalis,Metaseiulus occidentalis,,egg; ovarian; intestinal; muscle; epithelium,egg; ovarian; intestinal; muscle; epithelium
501,Oogranate pervascens,Maculaura alaskensis; Maculaura aquilonia; Maculaura oregonensis; Maculaura cerebrosa,,"oocytes (M. alaskensis, M. aquilonia); mesenchyme cells (M. alaskensis)",oocytes; mesenchyme cells
502,Ordospora colligata,Daphnia magna,,gut epithelium,gut epithelium
503,Ordospora durforti (= Endoreticulatus durforti) (1),Artemia sp.,,intestinal epithelium,intestinal epithelium
504,Ordospora durforti (= Endoreticulatus durforti) (2),,,,
505,Ormieresia carcini,Carcinus mediterraneus,,musculature,musculature
506,Orthosoma sp.,Listronotus bonariensis,,,
507,Orthosomella lambdinae,Lambdina athasaria,,midgut epithelium,midgut epithelium
508,Orthosomella lipae,Liophloeus lentus,,Reproductive system of adult females: ovarioles; oocytes; tropharia; somatic tissues; eggs,Reproductive system of adult females: ovarioles; oocytes; tropharia; somatic tissues; eggs
509,Ovavesicula popilliae (1),Popillia japonica,,Malpighian tubules (of larva); fat body (of larva); oenocytes (of adult); tracheal epithelium (of adults); air sac epithelium (of adults),Malpighian tubules; fat body; oenocytes; tracheal epithelium; air sac epithelium
510,Ovavesicula popilliae (2),,,,
511,Ovipleistophora arlo,Palaemon serratus,,Skeletal musculature of abdomen and thorax,Skeletal musculature of abdomen and thorax
512,Ovipleistophora diplostomuri (1),Lepomis macrochirus; infected with Posthodiplostomum minimum; Procambarus bivittatus,,Internal organs; most commonly in liver; but also in spleen; kidney; epicardium,Internal organs; most commonly in liver; but also in spleen; kidney; epicardium
513,Ovipleistophora diplostomuri (2),,,,
514,Pancytospora epiphaga,Caenorhabditis brenneri,,epidermis,epidermis
515,Pancytospora philotis,Oscheius tipula,,intestinal cells,intestinal cells
516,Pankovaia semitubulata,Cloeon dipterum,,adipose,adipose
517,Paradoxium irvingi,Pandalus montagui,,skeletal musculature; heart myofibres; longitudinal and circular muscles surrounding the gut,skeletal musculature; heart myofibres; longitudinal and circular muscles surrounding the gut
518,Paraepiseptum plectronemiae (Paraepiseptum plectrocnemiae),Plectronemia conspersa,,adipose,adipose
519,Parahepatospora carcini,Carcinus maenas,,hepatopancreatocytes,hepatopancreatocytes
520,Paramicrosporidium saccamoebae,Saccamoeba sp.,,,
521,Paramicrosporidium vannellae,Vannella sp.,,,
522,Paranosema grylli (= Nosema grylli) (1),Gryllus bimaculatus,,fat body (primary infection site); striated muscles; smooth muscles; intestines; ovaries; testes,fat body; striated muscles; smooth muscles; intestines; ovaries; testes
523,Paranosema grylli (= Nosema grylli) (2),,,,
524,Paranucleospora theridion,Salmo salar; Lepeophtheirus salmonis,,epithelial cells; leukocytes (in Salmo salar); endothelial cells (in Salmo salar); connective (in Lepeophtheirus salmonis); haemocytes (in Lepeophtheirus salmonis),epithelial cells; leukocytes; endothelial cells; connective; haemocytes
525,Parathelohania aquasalensis,Anopheles aquasalis,,intestinal,intestinal
526,Parathelohania costatus,Aedes punctor; Aedes diantaeus; Aedes excrucians,,fat body,fat body
527,Parathelohania detinovae,Anopheles maculipennis,,,
528,Parathelohania divulgata (1),Anopheles messeae,,adipose,adipose
529,Parathelohania divulgata (2),,,,
530,Parathelohania evansae,Anopheles evansae (= Nyssorynchus evansae),,fat body,fat body
531,Parathelohania formosa (1),Anopheles messeae,,adipose,adipose
532,Parathelohania formosa (2),,,,
533,Parathelohania iranica,Anopheles superpictus,,,
534,Parathelohania issiae,Anopheles claviger,,,
535,Parathelohania sibirika (1),Anopheles messeae,,adipose,adipose
536,Parathelohania sibirika (2),,,,
537,Parathelohania teguldeti (1),Anopheles beklemishevi,,adipose,adipose
538,Parathelohania teguldeti (2),,,,
539,Parathelohania tomski (1),Anopheles messeae,,adipose,adipose
540,Parathelohania tomski (2),,,,
541,Paratuzetia kupermani,Khawia armeniaca,,,
542,Percutemincola moriokae,Oscheius tipulae,,Hypodermis; then intestine,Hypodermis; then intestine
543,Perezia dichroplusae (Liebermannia dichroplusae),Dichroplus elongatus,,,
544,Perezia sp.,,,,
545,Pernicivesicula gracilis,Pentaneurella sp.,,,
546,Pleistophora (?) sp.,Sparus aurata,,,
547,Pleistophora aegyptiaca,Saurida tumbil,,peritoneal cavity,peritoneal cavity
548,Pleistophora atretii,Atretium schistosum,,muscle,muscle
549,Pleistophora beebei,Brachyhypopomus beebei,,Skeletal muscle of the internal abdominal cavity; near the gut.,Skeletal muscle of the internal abdominal cavity; near the gut.
550,Pleistophora blatellae,Blatella germanica,,Malpighian tubules,Malpighian tubules
551,Pleistophora carabidorum,Amara aenea,,,
552,Pleistophora cephei,Cepheus dentatus,,gut-wall,gut-wall
553,Pleistophora dindali,Carabodes coriaceus,,gut-wall,gut-wall
554,Pleistophora duodecimae,Coryphaenoides nasutus,,,
555,Pleistophora finisterrensis,Micromesistius poutassou,,hypoaxial muscles,hypoaxial muscles
556,Pleistophora malthodes,Malthodes fuscus,,,
557,Pleistophora oncoperae,Oncopera alboguttata; Oncopera rufobrunnea,,muscles (primary infection site); fat body; connective tissues,muscles; fat body; connective tissues
558,Pleistophora oribatei,Phtiracarus piger; Rhysotritia duplicata; Microtritia minima; Damaeus clavipes; Carabodes fernoralis; Phtiracarus sp.,,"lymphocytes (in Rhysotritia duplicata, Microtritia minima); oenocytes (in Rhysotritia duplicata, Microtritia minima); gonads (in Phtiracarus piger, Phtiracarus sp.); gut-wall (in Carabodes fernoralis, Damaeus clavipes)",lymphocytes; oenocytes; gonads; gut-wall
559,Pleistophora pagri,Pagrus pagrus,,epithelial lining of the peritoneum; intestinal epithelium,epithelial lining of the peritoneum; intestinal epithelium
560,Pleistophora platynothri,Platynothrus peltifer,,gut-wall,gut-wall
561,Pleistophora priacanthicola,Priacantus tayenus,,Gonads,Gonads
562,Pleistophora ronneafiei,Homo sapiens,,muscle,muscle
563,Pleistophora schubergi neustriae,Malacosoma neustria,,,
564,Pleistophora senegalensis,Sparus aurata,,intestines (muscularis in gut wall),intestines
565,Pleistophora sp. 10,Penaeus duorarum,,muscles (striated muscles),muscles; striated muscles
566,Pleistophora sp. 9,Heterophyes heterophyes (parasite in Liza ramada),,fibroblasts (of metacercarial capsule),fibroblasts
567,Pleistophora tanzaniae,Oryctes monoceros,,,
568,Pleistophora xyloteri,Xyloterus domesticus,,,
569,Polydispyrenia norandina,Gigantodax ortizi,,Adipose,Adipose
570,Potaspora aequidens,Aequidens plagiozonatus,,fins; skeletal muscles (of the sub-opercular region),fins; skeletal muscles
571,Potaspora macrobrachium,Macrobrachium nipponense,,skeletal muscles; cardiac muscles,skeletal muscles; cardiac muscles
572,Potaspora morhaphis,Potamorhaphis guianensis,,intestinal,intestinal
573,Pseudoberwaldia daphniae,Daphnia longispina complex,,infects adipose cells around the Daphnia,infects adipose cells around the Daphnia
574,Pseudokabatana alburnus,Culter alburnus,,Hepatocytes of Liver,Hepatocytes of Liver
575,Pseudoloma neurophilia,Danio rerio,,nervous,nervous
576,Pulicispora xenopsyllae,Xenopsylla skrjabini (c1); Xenopsylla hirtipes (c2),,fatty body; muscles; hypodermis; then other organs,fatty body; muscles; hypodermis; then other organs
577,Pyrotheca hydropsycheae,Hydropsyche siltalai,,fat body; oenocytes,fat body; oenocytes
578,Rectispora reticulata,Pomatothrix hammoniensis,,male gonads,male gonads
579,Rugispora istanbulensis,Xanthogaleruca luteola,,Midgut epithelium,Midgut epithelium
580,Schroedera airthreyi,Plumatella sp.,,muscle,muscle
581,Schroedera plumatellae,Plumatella fungosa,,spermatogonia,spermatogonia
582,Sporanauta perivermis,Odontophora rectangula,,Hypoderm (adults); muscles (adults); egg (adult female); and the reproductive tissues of juveniles,Hypoderm; muscles; egg; and the reproductive tissues of juveniles
583,Spraguea gastrophysus,Lophius gastrophysus,,dorsal ganglia; kidney,dorsal ganglia; kidney
584,Systenostrema alba,Aeshna grandis,,,
585,Systenostrema candida,Libellula quadrimaculata,,,
586,Takaokaspora nipponicus,Ochlerotatus japonicus japonicus; Ochlerotatus hatorii,,adipose of larvae (vertical trans.); gonads (of horizontally-infected adult female hosts),adipose of larvae; gonads
587,Tardivesicula duplicata,Limnephilus centralis,,adipose tissue,adipose tissue
588,Telomyxa orae,Ora texana,,fat body,fat body
589,Tetramicra brevifilum (1),Lophius budegassa; Scophthalmus maximus; Scophthalmidae (family); Salmo salar (?),,muscles (perimysium between red and white skeletal muscle); brain; internal organs,muscles; brain; internal organs
590,Tetramicra brevifilum (2),,,,
591,Thelohania assovi,Odagmia sp.,,fat body,fat body
592,Thelohania bomboschi,Tomocerus flavescens,,,
593,Thelohania butleri,Pandalus jordani,,skeletal muscles,skeletal muscles
594,Thelohania capillata,Odagmia ornata,,,
595,Thelohania collernbolae,Tomocerus flavescens,,,
596,Thelohania limbata,Tramea limbata,,,
597,Thelohania microtritiae,Microtritia minima,,lymphocytes,lymphocytes
598,Thelohania montirivulorum,Cherax destructor,,muscle,muscle
599,Thelohania ostriniae,Ostrinia nubilalis,,adipose tissue,adipose tissue
600,Thelohania parastaci,Cherax destructor,,muscle,muscle
601,Thelohaniida sp. 1,Gigantodax chilense; G. rufidulum,,,
602,Thelohaniida sp. 2,Cnesia dissimilis,,,
