,species,hosts_natural,hosts_experimental,infection_site,infection_site_formatted
0,Abelspora portucalensis (1),Carcinus maenas,,,
1,Abelspora portucalensis (2),,,,
2,Acarispora falculifera,Falculifer rostratus,,Gut epithelium of colon,Gut epithelium of colon
3,Agglomerata cladocera (siberian isolate),Daphnia magna,,Hypoderm; adipose,Hypoderm; adipose
4,Agglomerata connexa,Daphnia longispina,,adipose tissue (main infection site); systemic infection (except muscles and digestive tube),adipose tissue; systemic infection
5,Agglomerata daphnia,Daphnia magna (found in Carassius auratus gibelio),,hypoderm,hypoderm
6,Agglomerata lacrima,Acanthocyclops vernalis,,hypodermal; adipose,hypodermal; adipose
7,Agglomerata volgensae,Daphnia magna,,hypodermal; adipose,hypodermal; adipose
8,Agmasoma aquinoae,Penaeus merguiensis,,,
9,Alfvenia ceriodaphniae,Ceriodaphniae,,Hypodermis,Hypodermis
10,Alfvenia sibirica,Cyclops sp.,,Hypoderm; adipose,Hypoderm; adipose
11,Alloglugea bufonis,Bufo marinus,,"intestines (lamina propria); liver (reticuloendothelial cells, blood vessels); spleen (primary infection site); kidney (glomeruli, primary infection site); macrophages; phagocytes",intestines; lamina propria; liver; reticuloendothelial cells; blood vessels; spleen; kidney; glomeruli; macrophages; phagocytes
12,Alternosema bostrichidis,Prostephanus truncatus; Dinoderus bifoveolatus; Dinoderus porcellus; Dinoderus minutus,,muscles; gonads; midgut epithelium; Malpighian tubules (vessels); fat body,muscles; gonads; midgut epithelium; Malpighian tubules; vessels; fat body
13,Amazonspora hassar,Hassar orestis,,gills,gills
14,Amblyospora abserrati,Aedes abserratus,Acanthocyclops vernalis,fat body,fat body
15,Amblyospora aestiva,Aedes dorsalis; Aedes caspius,,fat body,fat body
16,Amblyospora albifasciati,Aedes albifasciatus (= Ochlerotatus albifasciatus),,,
17,Amblyospora auriferi,Aedes aurifer,,fat body,fat body
18,Amblyospora bakcharia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
19,Amblyospora baritia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
20,Amblyospora bogashovia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
21,Amblyospora burlaki,Culex pipiens,,,
22,Amblyospora camposi,Culex renatoi (1); Paracyclops fimbriatus fimbriatus (2),,"adipose (1); ovarian (1, 2)",adipose; ovarian
23,Amblyospora caspius,Aedes caspius,,,
24,Amblyospora cataphyllus,Aedes cataphylla,,fat body,fat body
25,Amblyospora certa,Aedes cinereus,,fat body,fat body
26,Amblyospora chulymia,Ochlerotatus caspius,,Adipose in larvae,Adipose in larvae
27,Amblyospora cinerei,Aedes cinereus,Acanthocyclops vernalis,fat body,fat body
28,Amblyospora coluzzii,Anopheles gambiae,,,
29,Amblyospora connecticus (1),Aedes cantator; Acanthocyclops vernalis (intermediate host),,,
30,Amblyospora connecticus (2),,,,
31,Amblyospora criniferis,Aedes crinifer (= Ochlerotatus crinifer),,fat body,fat body
32,Amblyospora dakarensis,Culex tritaeniorhynchus,,fat body,fat body
33,Amblyospora dolosi (1),Culex dolosus; Metacyclops mendocinus (intermediate host),,fat body (of Culex dolosus); ovary (of Metacyclops mendocinus),fat body; ovary
34,Amblyospora dolosi (2),,,,
35,Amblyospora dyxenoides (1),Culex annulirostris; Mesocyclops sp. (intermediate host); Mesocyclops albicans (intermediate host),,,
36,Amblyospora dyxenoides (2),,,,
37,Amblyospora egypti,Culex pipiens,,fat body,fat body
38,Amblyospora excrucii,Aedes excrucians,,fat body,fat body
39,Amblyospora ferocis (Amblyospora ferocious),Psorophora ferox (= Janthinosoma ferox),,fat body,fat body
40,Amblyospora firma,Aedes punctor,,fat body,fat body
41,Amblyospora flavescens,Aedes sp. (1); Culex sp. (2),,adipose,adipose
42,Amblyospora hristinia,Ochlerotatus communis,,Adipose in larvae,Adipose in larvae
43,Amblyospora indicola (1),Culex sitiens; Apocyclops sp. (intermediate host),,fat body (of Culex sitiens larva); ovary (Apocyclops sp.),fat body; ovary
44,Amblyospora indicola (2),,,,
45,Amblyospora indubitantis,Mansonia indubitans (= Mansonia indubitans),,fat body,fat body
46,Amblyospora jurginia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
47,Amblyospora kadunae,Culex pipiens quinquefasciatus,,,
48,Amblyospora kazankia,Ochlerotatus dianaetus,,Adipose in larvae,Adipose in larvae
49,Amblyospora kolarovi,Aedes sp. (1); Culex sp. (2),,adipose,adipose
50,Amblyospora macrococcus,Corynoneura sp.,,fat body,fat body
51,Amblyospora mavlukevia,Aedes cinereus,,Adipose in larvae,Adipose in larvae
52,Amblyospora media,Aedes dorsalis,,fat body,fat body
53,Amblyospora mocrushinia,Ochlerotatus mocrushinia,,adipose in larvae,adipose in larvae
54,Amblyospora modestium,Culex modestus,,adipose in larvae,adipose in larvae
55,Amblyospora nataliae,Uranotaenia nataliae,,fat body,fat body
56,Amblyospora nigeriana,Culex pipiens quinquefasciatus,,,
57,Amblyospora orbiculata,Aedes sp. (1); Culex sp. (2),,adipose,adipose
58,Amblyospora pinensis,Culex sitiens,,,
59,Amblyospora polykarya,Aedes taeniorhynchus,,fat body (type 1); egg (type 2),fat body; egg
60,Amblyospora punctor,Aedes punctor,,fat body,fat body
61,Amblyospora rugosa,Aedes sp. (1); Culex sp. (2),,adipose,adipose
62,Amblyospora salairia,Aedes cinereus,,adipose in larvae,adipose in larvae
63,Amblyospora salinarian (Amblyospora salinaria),Culex salinarius (definitive host); Macrocyclops albidus (intermediate host),,oenocytes (of adult female and male larva); ovary (of adult female and M albidus); adipose tissue (of male larva),oenocytes; ovary; adipose tissue
64,Amblyospora senegalensis,Culex thalassius,,adipose tissue,adipose tissue
65,Amblyospora severinia,Ochlerotatus excrucians,,adipose in larvae,adipose in larvae
66,Amblyospora shegaria,Aedes cinereus,,adipose in larvae,adipose in larvae
67,Amblyospora sp. 34,Culex salinarius,,oenocytes; fat body,oenocytes; fat body
68,Amblyospora sp. 35,Cricotopus ex gr. silvestris,,fat body,fat body
69,Amblyospora sp. 36,Culex pipiens,,nerve ganglia,nerve ganglia
70,Amblyospora sp. 37,Aedes cantador,,gastric caeca,gastric caeca
71,Amblyospora sp. 40,Ochlerotatus detritus,,,
72,Amblyospora stictici,Aedes sticticus,,fat body; oenocytes,fat body; oenocytes
73,Amblyospora stimuli,Aedes stimulans,Diacyclops bicuspidatus thomasi,fat body,fat body
74,Amblyospora styriaca,Eusimulium costatum,,adipose tissue,adipose tissue
75,Amblyospora theophanica,Anopheles annulipes,,,
76,Amblyospora timirasia,Aedes cinereus,,adipose in larvae,adipose in larvae
77,Amblyospora tramazayguesi,Culex tramazayguesi (= Allimanta tramazayguesi),,fat body,fat body
78,Amblyospora trinus,Culex halifaxi,,fat body,fat body
79,Amblyospora undata,Aedes sp. (1); Culex sp. (2),,adipose,adipose
80,Amblyospora urski,Aedes sp. (1); Culex sp. (2),,adipose,adipose
81,Amblyospora weiseri (1),Aedes cantans,,fat body; oenocytes,fat body; oenocytes
82,Amblyospora weiseri (2),,,,
83,Ameson atlanticum,Cancer pagurus,,,
84,Ameson herrnkindi,Panulirus argus,,Striated muscle tissues,Striated muscle tissues
85,Ameson metacarcini,Metacarcinus magister,,Sarcoplasm of skeletal myofibrils; rarely in cardiac muscles; fixed phagocytes of hemal vessels.,Sarcoplasm of skeletal myofibrils; rarely in cardiac muscles; fixed phagocytes of hemal vessels.
86,Ameson sp.,Penaeus monodon,,,
87,Amoebosporidium minutum,Vannella cirrifera,,,
88,Andreanna caspii,Ochlerotatus caspius,,adipose,adipose
89,Anisofilariata chironomi,Chironomus plumosus,,Adipose,Adipose
90,Anncaliia azovica,Niphargogammarus intermedius,,subcuticular fat body; myocytes,subcuticular fat body; myocytes
91,Anncaliia meligethi (= Nosema meligethi) (1),Meligethes aenus; Pieris brassicae,,"fat body (of Meligethes aenus); muscles (of Meligethes aenus, rarely)",fat body; muscles
92,Anncaliia meligethi (= Nosema meligethi) (2),,,,
93,Anostracospora rigaudi,Artemia franciscana; Artemia parthenogenetica,,Intestinal epithelium,Intestinal epithelium
94,Antonospora psocopterae,Xanthocaecilius sommermanae; Polypsocus corruptus,,Adipose,Adipose
95,Antonospora scoticae,Andrena scotica,,adipose tissue (in gaster); haemolymph; haemocoel,adipose tissue; haemolymph; haemocoel
96,Apotaspora heleios,Palaemonetes paludosus,,muscles; subcuticular epithelium,muscles; subcuticular epithelium
97,Areospora rohanae,Lithodes santolla,,phagocytes; connective tissue,phagocytes; connective tissue
98,Auraspora canningae,Lepidocyrtus lignorum,,,
99,Bacillidium vesiculoformis,Nais simplex,,haemocytes,haemocytes
100,Baculea daphniae (1),Daphnia pulex,,intestinal epithelium,intestinal epithelium
101,Baculea daphniae (2),,,,
102,Becnelia sigarae,Sigara lateralis,,testicular,testicular
103,Berwaldia hypodermica,Simocephalus vetulus,,hypodermis; fat cells,hypodermis; fat cells
104,Berwaldia nana,Daphnia longispina/galeata complex,,fat cells,fat cells
105,Berwaldia singularis (1),Daphnia pulex,,adipose tissue; hematocoel,adipose tissue; hematocoel
106,Berwaldia singularis (2),,,,
107,Berwaldia singularis (3),,,,
108,Binucleata daphniae,Daphnia magna,,integumentary,integumentary
109,Binucleospora elongata,Candona sp.,,adipose tissue; conective tissue; haemocytes,adipose tissue; conective tissue; haemocytes
110,Brachiola gambiae,Anopheles gambiae (1); Anopheles melas (2),,intestinal; Malphigian; adipose; muscle; hyopdermal; connective,intestinal; Malphigian; adipose; muscle; hyopdermal; connective
111,Brachiola vesicularum,Homo sapiens,,striated muscles,striated muscles
112,Bryonosema plumatellae,Plumatella nitens,,,
113,Bryonosema tuftyi,Plumatella sp.,,,
114,Burenella dimorpha,Solenopsis geminata (type host); Solenopsis xyloni; Solenopsis invicta; Solenopsis richteri,,hypodermis (NMB spores); adipose tissue (MB spores),hypodermis; adipose tissue
115,Cambaraspora floridanus,Procambarus paeninsulanus,,muscle,muscle
116,Canningia spinidentis,Pityokteines spinidens,,fat body; Malpighian tubules; muscle; connective tissue; gonads,fat body; Malpighian tubules; muscle; connective tissue; gonads
117,Canningia tomici,Tomicus piniperda,,intestinal; muscle; trachea; Malphigian; connective tissue; adipose; gonads,intestinal; muscle; trachea; Malphigian; connective tissue; adipose; gonads
118,Caudospora palustris,Cnephia ornithophilia (1); Stegopterna mutata (2),,adipose,adipose
119,Caudosporidae sp.,Gigantodax antarcticum; G. chilense; G. fuluescens; G. rufescens; G. rufidulum,,,
120,Chytridiopsis trichopterae,Polycentropus flavomaculatus,,midgut epithelium,midgut epithelium
121,Ciliatosporidium platyophryae,Cirrophrya terricola,,posterior body; appendages,posterior body; appendages
122,Conglomerata obtusa,Daphnia pulex,,adipose,adipose
123,Crepidula beklemishevi,Anopheles beklemishevi,,adipose,adipose
124,Crispospora chironomi,Chironomus plumosus,,Gut epithelium,Gut epithelium
125,Cristulospora aedis,Aedes caspius,,genital ducts (type 1); fat body (type 2),genital ducts; fat body
126,Cristulospora cadyrovi,Culex pipiens,,fat body,fat body
127,Cristulospora sherbani,Culex modestus,,genital ducts (type 1); fat body (type 2),genital ducts; fat body
128,Cucumispora dikerogammari (1),Dikerogammarus villosus; Dikerogammarus haemobaphes; Chaetogammarus ischnus; Pontogammarus crassus,,"Primarily muscle cells (of Dikerogammarus villosus); somatic tissue (secondarily, of Dikerogammarus villosus); adipose tissue (secondarily, of Dikerogammarus villosus); haemolymph (of Dikerogammarus villosus); gonads (of Dikerogammarus villosus)",Primarily muscle cells; somatic tissue; adipose tissue; haemolymph; gonads
129,Cucumispora dikerogammari (2),,,,
130,Cucumispora ornata,Dikerogammarus haemobaphes,,muscles (primary infection site); connective tissue (between the gut and gonad); nervous system (in advanced cases); carapace (in advanced cases),muscles; connective tissue; nervous system; carapace
131,Cucumispora roeselii,Gammarus roeselii,,muscle,muscle
132,Culicospora damnosi,Simulium damnosum,,,
133,Cystosporogenes deliaradicae,Delia radicum,,"fat body (especially prominent in thorax, close to hypoderm)",fat body
134,Cystosporogenes sp.,Agrilus anxius,,Fat body; gut epithelium,Fat body; gut epithelium
135,Desmozoon lepeophtherii (also Paranucleospora theridion) (1),Lepeophtheirus salmonis (1); Salmo salar (2); Caligus elongatus (3); Oncorhynchus mykiss (4),,"epithelium (1, 2); endothelium (2); connective (1); haemocytes (1)",epithelium; endothelium; connective; haemocytes
136,Desmozoon lepeophtherii (also Paranucleospora theridion) (2),,,,
137,Desmozoon lepeophtherii (also Paranucleospora theridion) (3),,,,
138,Desmozoon lepeophtherii (also Paranucleospora theridion) (4),,,,
139,Dictyocoela diporeiae,Diporeia sp.; Amphipoda; Gammaridea,,Muscle surrounding ovaries,Muscle surrounding ovaries
140,Dictyocoela duebenum (1),Gammarus duebeni,,egg; ovarian,egg; ovarian
141,Dictyocoela duebenum (2),,,,
142,Dictyocoela duebenum (3),,,,
143,Dictyocoela roeselum (1),Gammarus roeseli (1); Gammarus balcanicus (2); Gammarus fossarum (3),,egg; ovarian (1),egg; ovarian
144,Dictyocoela roeselum (2),,,,
145,Dimeiospora palustris,Aedes punctor,,adipose,adipose
146,Duboscqia aediphaga,Aedes vigilax,,,
147,Duboscqia dengihilli,Anopheles hilli; Apocyclops dengizicus,,fat body (of Anopheles hilli larva); oenocytes (of Anopheles hilli adult female),fat body; oenocytes
148,Encephalitozoon flavescens,Tomocerus flavescens,,,
149,Encephalitozoon hellem (1),Homo sapiens; Melopsittacus undulatus; Eclectus roratus; Chalcopsitta scintillata,,small intestine; liver (of Eclectus roratus); kidney (of Eclectus roratus); spleen (of of Eclectus roratus); lung (of Eclectus roratus); heart (of of Eclectus roratus); ventriculus (of Eclectus roratus); skeletal muscles (of Eclectus roratus); brain (of Eclectus roratus); eye cornea (of Homo sapiens); eye conjunctiva (of Homo sapiens),small intestine; liver; kidney; spleen; lung; heart; ventriculus; skeletal muscles; brain; eye cornea; eye conjunctiva
150,Encephalitozoon hellem (2),,,,
151,Encephalitozoon hellem (3),,,,
152,Encephalitozoon hellem (4),,,,
153,Encephalitozoon hellem (5),,,,
154,Encephalitozoon intestinalis (= Septata intestinalis) (1),Homo sapiens,,intestines; villus enterocytes; lamina propria macrophages; lamina propria fibroblasts; lamina propria endothelial cells; gall bladder epithelium; gall bladder macrophages; kidney tubular cells; kidney transitional cells; nasal mucosa,intestines; villus enterocytes; lamina propria macrophages; lamina propria fibroblasts; lamina propria endothelial cells; gall bladder epithelium; gall bladder macrophages; kidney tubular cells; kidney transitional cells; nasal mucosa
155,Encephalitozoon intestinalis (= Septata intestinalis) (2),,,,
156,Encephalitozoon intestinalis (= Septata intestinalis) (3),,,,
157,Encephalitozoon lacertae,Mabuya perrotetii; Podracis muralis,,large intestine epithelium; cloaca,large intestine epithelium; cloaca
158,Encephalitozoon pogonae,Pogona vitticeps,,macrophages,macrophages
159,Encephalitozoon romaleae,Romalea microptera,,epithelium; intestinal; midgut,epithelium; intestinal; midgut
160,Encephalitozoon sp. (?),Agapornis roseicolli,,liver; kidney (tubule epithelium),liver; kidney; tubule epithelium
161,Encephalitozoon sp. 2,Homo sapiens,,,
162,Encephalitozoon sp. 3,Homo sapiens,,eye cornea,eye cornea
163,Encephalitozoon sp. 4,Homo sapiens,,found in a liver lesion caused by Echinococcus multilocularis,found in a liver lesion caused by Echinococcus multilocularis
164,Encephalitozoon sp. 5,Struthio camelus,,small intestine,small intestine
165,Encephalitozoon sp. 6,Amblyomma cajennense; Anocentor nitens,,midgut epithelium; salivary gland,midgut epithelium; salivary gland
166,Encephalitozoon sp. 7,Homo sapiens,,jejunal enterocytes; distal duodenal enterocytes; macrophages (in lamina propria through muscularis mucosae into submucosa of small intestine tract),jejunal enterocytes; distal duodenal enterocytes; macrophages; in lamina propria through muscularis mucosae into submucosa of small intestine tract
167,Encephalitozoon vrevi,Macrocyclops distinctus,,fat body,fat body
168,Endoreticulatus eriocheir (Hepatospora eriocheir),Eriocheir sinensis,,epithelium,epithelium
169,Endoreticulatus poecilimonae,Poecilimon thoracicus,,midgut; gastric caeca,midgut; gastric caeca
170,Endoreticulatus sp. from Eilema complana,Eilema complana,,Midgut epithelium,Midgut epithelium
171,Enterocytospora artemiae,Artemia franciscana; Artemia monica; parthenogenetica,,Intestinal epithelium,Intestinal epithelium
172,Enterocytozoon bieneusi (1),Homo sapiens; Macaca mulatta,,"intestinal epithelium (enterocytes, of Homo sapiens); bilary duct; nasal epithelium; gallbladder (of Macaca mulatta); common bile duct (of Macaca mulatta); intrahepatic bile duct (of Macaca mulatta)",intestinal epithelium; enterocytes; bilary duct; nasal epithelium; gallbladder; common bile duct; intrahepatic bile duct
173,Enterocytozoon bieneusi (2),,,,
174,Enterocytozoon bieneusi (3),,,,
175,Enterocytozoon bieneusi (4),,,,
176,Enterocytozoon hepatopenaei,Penaeus monodon,,epithelium; hepatopancreas,epithelium; hepatopancreas
177,Enterocytozoon salmonis (Nucleospora salmonis) (1),Oncorhynchus tshawytscha; Oncorhynchus mykiss,,hematopoietic cells; kidney epithelium; urinary tubule epithelium; rodlet cells,hematopoietic cells; kidney epithelium; urinary tubule epithelium; rodlet cells
178,Enterocytozoon salmonis (Nucleospora salmonis) (2),,,,
179,Enterocytozoon salmonis (Nucleospora salmonis) (3),,,,
180,Enterocytozoon sp.,Cyclopterus lumpus,,lymphocyte-like cells in renal interstitum; lymphocyte-like cells in spleen; liver; gills; stomach (lamina propria and submucosa); pyloric caecae; heart; ovary; mesenteric fat,lymphocyte-like cells in renal interstitum; lymphocyte-like cells in spleen; liver; gills; stomach; lamina propria and submucosa; pyloric caecae; heart; ovary; mesenteric fat
181,Enteropsectra breve,Oscheius tipulae,,intestine (does not affect intestinal cells),intestine
182,Enteropsectra longa,Oscheius sp. 3,,epidermis,epidermis
183,Enterospora canceri,Cancer pagurus,,epithelium,epithelium
184,Enterospora nucleophila,Sparus aurata,,primarily intestine; rarely in the stomach,primarily intestine; rarely in the stomach
185,Episeptum anaboliae,Anabolia furcata,,adipose,adipose
186,Episeptum circumscriptum,Hydropsyche siltalai,,fat body,fat body
187,Episeptum invadens,Limnephilus fuscicornis,,fat body,fat body
188,Episeptum inversum,Holocentropus picicornis,,,
189,Episeptum pseudoinversum,Sericostoma personatum,,adipose,adipose
190,Episeptum trichoinvadens,Potamophylax cingulatus,,adipose,adipose
191,Episeptuni inversum,Holocentropus picicornis,,adipose tissue,adipose tissue
192,Euplotespora binucleata,Euplotes woodruffi,,,
193,Facilispora margolisi,Lepeoptheirus salmonis; Lepeophtheirus cuneifer; Lepeophtheirus parviventris,,subcuticular connective tissue; skeletal muscle; ovary; and digestive gland,subcuticular connective tissue; skeletal muscle; ovary; and digestive gland
194,Fibrillanosema crangonycis,Crangonyx pseudogracilis,,gonadal,gonadal
195,Fibrillaspora daphniae (1),Daphnia magna,,,
196,Fibrillaspora daphniae (2),,,,
197,Flabelliforma diaptomi (= Stempellia diaptomi),Diaptomus gracilis,,adipose tissue,adipose tissue
198,Flabelliforma montana,Phlebotomus ariasi,,midgut (primary infection site); fat body,midgut; fat body
199,Flabelliforma ostracoda,Candona sp.,,,
200,Fusasporis stethaprioni,Gymnocorymbus ternetzi (type host); Paracheirodon axelrodi,,"systemic infection (most organs, similar tissues infected for both hosts); gills; macrophages; intestines (submucosa and muscularis); liver (hepatic parenchyma); testes (stroma); coelomic cavity; pancreas (stroma); ovary (stroma); spleen; adipose tissue; bile duct; skeletal muscles; eye (choroid rete); spinal cord; peripheral ganglia; pseudobranch; meninges",systemic infection; gills; macrophages; intestines; submucosa and muscularis; liver; hepatic parenchyma; testes; stroma; coelomic cavity; pancreas; stroma; ovary; stroma; spleen; adipose tissue; bile duct; skeletal muscles; eye; choroid rete; spinal cord; peripheral ganglia; pseudobranch; meninges
201,Geusia gamocystis,Gamocystis ephemerae,,Intestine,Intestine
202,Globosporidium paramecii,Paramecium primaurelia,,,
203,Globulispora mitoportans,Daphnia pulex; Simocephalus vetulus,,midgut; gastric ceca epithelium,midgut; gastric ceca epithelium
204,Glugea americanus,Lophius americanus,,,
205,Glugea arabica,Epinephelus polyphekadion,,Intestinal wall,Intestinal wall
206,Glugea atherinae,Atherina boyeri,,gut wall; general cavity,gut wall; general cavity
207,Glugea capverdensis,Myctophum punctatum,,,
208,Glugea eda,Caesio striata,,mesenteric tissues,mesenteric tissues
209,Glugea heraldi,Hippocampus erectus,,connective tissues (subcutaneous),connective tissues; subcutaneous
210,Glugea jazanensis,Lutjanus bohar,,skeletal muscles of the abdominal cavity; mesenteric tissues,skeletal muscles of the abdominal cavity; mesenteric tissues
211,Glugea malabaricii,Carangoides malabaricus,,Liver; intestine; gonads,Liver; intestine; gonads
212,Glugea nagelia,Cephalopholis hemistiktos,,intestinal wall,intestinal wall
213,Glugea nemipteri,Nemipterus japonicus,,muscles; gonads; liver,muscles; gonads; liver
214,Glugea pagri,Pagrus major,,Throughout the visceral organs of infected fish,Throughout the visceral organs of infected fish
215,Glugea plecoglossi,Plecoglossus altivelis (also infects Plecoglossus altivelis altivelis subspecies),Salmo gairdneri,peritoneum; visceral cavity; ovary; testes; fat body; pyloric caeca; spleen; muscles; liver; heart; gills; iris,peritoneum; visceral cavity; ovary; testes; fat body; pyloric caeca; spleen; muscles; liver; heart; gills; iris
216,Glugea serranus,Serranus atricauda,,connective tissue of the coelomic cavity,connective tissue of the coelomic cavity
217,Glugea sp. 4,Glyptocephalus cynoglossus,,skeletal muscles,skeletal muscles
218,Glugea vincentiae,Vincentia conspersa,,subcutaneous,subcutaneous
219,Gurleya daphniae,Daphnia pulex,,epidermis,epidermis
220,Gurleya dorisae,Anabolin nervosa; Micropterna lateralis,,adipose tissue (of Anabolin nervosa),adipose tissue
221,Gurleya orchestiae,Orchestia bottae,,muscle,muscle
222,Gurleya polonica,Gammarus duebeni,,,
223,Gurleya pontica,Palaemon elegans,,,
224,Hamiltosporidium magnivora (= Flabelliforma magnivora) (1),Daphnia magna,,fat body; hypodermic cells; ovary,fat body; hypodermic cells; ovary
225,Hamiltosporidium magnivora (= Flabelliforma magnivora) (2),,,,
226,Hamiltosporidium tvaerminnensis,Daphnia magna,,adipose; ovaries; hypodermis,adipose; ovaries; hypodermis
227,Helmichia aggregata,Endochironomus sp.,,fat body,fat body
228,Helmichia anomala,Microtendipes pedellus,,adipose,adipose
229,Helmichia glandulicola,Chironomus anthracinus,,salivary glands,salivary glands
230,Helmichia lacustris (1),Chironomus plumosus,,fat body,fat body
231,Helmichia lacustris (2),,,,
232,Heterosporis cichlidarum,Hemichromis bimaculatus,,striated muscles,striated muscles
233,Heterosporis lessepsianus,Saurida lessepsianus,,abdominal cavity; skeletal muscles; mesenteric tissues,abdominal cavity; skeletal muscles; mesenteric tissues
234,Heterosporis saurida,Saurida undosquamis,,skeletal muscle of the abdominal cavity,skeletal muscle of the abdominal cavity
235,Heterosporis schuberti,Pseudocrenilabrus multicolor,,,
236,Heterosporis sutherlandae,Perca flavescens; Esox lucius; Sander vitreus,,Skeletal muscles; mesenteric tissues,Skeletal muscles; mesenteric tissues
237,Heterovesicula cowani (= Vairimorpha sp.) (1),Anabrus simplex,,adipose tissue (main infection site); Malpighian tubules; fat body,adipose tissue; Malpighian tubules; fat body
238,Heterovesicula cowani (= Vairimorpha sp.) (2),,,,
239,Hrabyeia xerkophora,"""freshwater oligochaete""",,body cavity coelomocytes,body cavity coelomocytes
240,Hyalinocysta expilatoria,Odagmia ornata,,,
241,Hyperspora aquatica,Marteilia cochillia,,Primary cells,Primary cells
242,Ichthyosporidium weissii,Clevelandia ios,,Connective tissue in Gonad,Connective tissue in Gonad
243,Intexta acarivora,Tyrophagus putrescentiae,,gut epithelium,gut epithelium
244,Intrapredatorus barri,Culex fuscanus (type host); Culex halifaxi,,fat body,fat body
245,Issia globulifera (Senoma globulifera),Anopheles maculipennis,,,
246,Janacekia adipophila,Ptychoptera paludosa,,adipose tissue,adipose tissue
247,Janacekia tainanus,Kiefferulus tainanus,,adipose,adipose
248,Jirovecia involuta,Limnodrilus hoffmeisteri,,,
249,Jirovecia sinensis,Branchiura sowerbyi,,coelomocytes,coelomocytes
250,Johenrea locustae (1),Locusta migratoria capito,Locusta migratoria migratorioides; Schistocerca gregaria,fat body; adipose tissue; hemocoel; body wall; digestive tract (primary infection site),fat body; adipose tissue; hemocoel; body wall; digestive tract
251,Johenrea locustae (2),,,,
252,Kabataia arthuri (= Microsporidium arthuri) (1),Pangasius sutchi,,trunk muscles,trunk muscles
253,Kabataia arthuri (= Microsporidium arthuri) (2),,,,
254,Kabatana newberryi,Eucyclogobius newberryi,,muscle,muscle
255,Kabatana rondoni,Gymnorhamphichthys rondoni,,Skeletal muscle of intestine,Skeletal muscle of intestine
256,Kinorhynchospora japonica,Kinorhynchus yushini,,mid-intestinal epithelium,mid-intestinal epithelium
257,Kneallhazia carolinensae,Solenopsis carolinensis,,Fat body,Fat body
258,Kneallhazia solenopsae (1),Solenopsis invicta; Solenopsis richteri,,fat body; ovary (of queens),fat body; ovary
259,Kneallhazia solenopsae (2),,,,
260,Kneallhazia solenopsae (3),,,,
261,Kudoa islandica,Cyclopterus lumpus,,,
262,Lanatospora costata,Megacyclops viridis,,adipose; connective tissue cells,adipose; connective tissue cells
263,Lanatospora tubulifera,Acanthocyclops vernalis,,connective tissue (between muscle strands and beneath hypodermis),connective tissue
264,Larssonia hiberna,Daphnia magna (females),,adipose tissue; hemocoel,adipose tissue; hemocoel
265,Larssoniella duplicati,Ips duplicatus,,midgut; muscle; Malphigian; ovarian,midgut; muscle; Malphigian; ovarian
266,Larssoniella resinellae,Petrova resinella,,silk glands (primary infection site); Malpighian tubules; fat body; gonads (pupa and adult); egg,silk glands; Malpighian tubules; fat body; gonads; egg
267,Liebermannia covasacrae,Covasacris pallidinota,,epithelium; salivary gland,epithelium; salivary gland
268,Liebermannia patagonica,Tristira magellanica,,epithelium,epithelium
269,Liebermannia sp. [unknown],Chorthippus loratus,,,
270,Loggerhead turtle microsporidium,Caretta caretta,,skeletal muscle,skeletal muscle
271,Loma boopsi,Boops boops,,liver; intestinal epithelium; pyloric caeca,liver; intestinal epithelium; pyloric caeca
272,Loma camerounensis,Oreochromis niloticus,,oesophagus; intestine (mainly in duodenum); sub-epithelial gut connective tissue,oesophagus; intestine; mainly in duodenum; sub-epithelial gut connective tissue
273,Loma diplodae,Diplodus sargus,,,
274,Loma embiotocia,Cymatogaster aggregata,,secondary lamellae of gills,secondary lamellae of gills
275,Loma fontinalis,Savelinus fontinalis,,,
276,Loma kenti,Microgadus proximus,,Primarily gills; secondarily in gonads; spleen; heart; gallbladder; liver; kidney,Primarily gills; secondarily in gonads; spleen; heart; gallbladder; liver; kidney
277,Loma lingcodae,Ophiodon elongatus,,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and especially gonads.,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and especially gonads.
278,Loma morhua (1),Gadus morhua; Melanogrammus aeglefinus,,,
279,Loma morhua (2),,,,
280,Loma mugili,Planiliza haematocheila (Mugil soiuy),,gills,gills
281,Loma myrophis,Myrophis platyrhynchus,,intestinal epithelium,intestinal epithelium
282,Loma pacificodae,Gadus macrocephalus,,Primarily gills; secondarily gonads; spleen; heart; liver; kidney,Primarily gills; secondarily gonads; spleen; heart; liver; kidney
283,Loma psittaca,Colomesus psittacus,,intestinal,intestinal
284,Loma richardi,Anoplopoma fimbria,,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and gonads.,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and gonads.
285,Loma salmonae (1),Oncorhynchus mykiss; Oncorhynchus kisutch; Oncorhynchus tshawytscha; Salvelinus fontinalis; Salmo trutta,,gills; spleen; heart,gills; spleen; heart
286,Loma salmonae (2),,,,
